customer_id,plan_type,country,company_size,days_active_last_30,last_login_days_ago,features_used,team_members_added,support_tickets,billing_issues,subscription_age_months,emails_opened_last_30,training_completed,monthly_fee,signup_date,churned
CUST-60,Starter,US,Small,21,17,4,1,0,0,23,9,1,29,2025-01-16,0
CUST-61,Starter,Nigeria,Medium,30,17,7,5,2,0,26,9,1,29,2025-08-21,0
CUST-62,Starter,UK,Small,20,19,4,13,4,0,14,2,0,29,2025-07-31,0
CUST-63,Pro,UK,Medium,23,8,3,10,5,1,12,0,0,79,2024-05-17,1
CUST-64,Starter,UK,Medium,19,23,6,3,5,1,4,8,1,29,2024-07-18,0
CUST-65,Starter,US,Small,7,1,4,8,3,0,13,12,0,29,2024-11-30,0
CUST-66,Starter,US,Medium,25,7,3,2,1,0,18,0,1,29,2025-08-27,0
CUST-67,Free,UK,Small,13,19,9,15,1,0,28,1,1,0,2025-03-22,0
CUST-68,Pro,US,Medium,30,1,5,10,1,0,19,8,1,79,2024-12-13,0
CUST-69,Free,Germany,Small,17,10,7,3,5,0,3,4,0,0,2024-10-04,0
CUST-70,Enterprise,Germany,Medium,24,25,6,0,1,0,19,3,0,249,2025-06-15,0
CUST-71,Pro,US,Small,28,6,10,20,4,0,20,8,1,79,2025-02-02,0
CUST-72,Free,UK,Medium,15,5,5,15,0,0,25,8,1,0,2025-01-25,0
CUST-73,Free,US,Small,8,29,7,18,5,0,11,1,0,0,2025-08-24,0
CUST-74,Pro,US,Large,14,9,6,15,4,0,17,2,1,79,2025-07-15,0
CUST-75,Pro,US,Large,29,4,10,10,2,0,35,11,1,79,2024-01-10,0
CUST-76,Pro,Nigeria,Large,25,10,2,7,4,0,14,15,0,79,2025-08-13,0
CUST-77,Pro,Germany,Medium,9,0,3,0,4,0,19,2,0,79,2025-07-02,0
CUST-78,Free,Canada,Medium,28,1,2,20,2,0,3,15,1,0,2024-02-28,0
CUST-79,Starter,Canada,Small,21,23,3,8,4,0,34,4,0,29,2024-03-28,0
CUST-80,Free,Nigeria,Small,15,0,1,11,0,0,22,12,0,0,2025-04-03,0
CUST-81,Pro,US,Small,3,18,8,7,5,0,27,2,0,79,2024-04-13,1
CUST-82,Pro,Nigeria,Medium,19,1,6,16,3,1,21,9,1,79,2024-04-13,1
CUST-83,Starter,Nigeria,Large,12,20,2,9,2,0,31,5,1,29,2024-09-10,1
CUST-84,Free,UK,Small,21,19,8,6,5,0,27,15,0,0,2024-11-30,1
CUST-85,Starter,Germany,Large,4,28,6,18,1,0,2,1,0,29,2025-04-07,0
CUST-86,Starter,Canada,Medium,21,22,7,5,0,1,9,5,0,29,2025-07-02,0
CUST-87,Pro,US,Medium,6,20,1,20,3,0,19,5,1,79,2024-10-27,1
CUST-88,Pro,Canada,Small,22,23,7,18,0,1,36,1,0,79,2025-10-15,0
CUST-89,Pro,Canada,Small,8,3,3,17,0,0,10,5,1,79,2025-07-08,0
CUST-90,Starter,Germany,Medium,7,30,8,14,1,1,7,5,0,29,2025-09-19,0
CUST-91,Free,Canada,Medium,28,11,6,1,3,0,4,5,0,0,2024-12-06,0
CUST-92,Pro,Canada,Small,15,21,4,13,0,0,15,11,0,79,2025-05-06,0
CUST-93,Pro,Nigeria,Medium,5,19,8,20,1,1,12,12,1,79,2024-03-24,0
CUST-94,Starter,Germany,Large,27,17,9,9,2,1,6,13,1,29,2024-09-15,0
CUST-95,Pro,UK,Medium,15,0,10,15,1,0,9,4,1,79,2024-12-25,0
CUST-96,Starter,US,Large,5,29,2,6,4,0,35,6,0,29,2024-03-27,1
CUST-97,Starter,Canada,Small,30,29,6,7,5,0,8,12,0,29,2025-03-03,1
CUST-98,Starter,US,Small,13,0,5,9,1,0,7,14,1,29,2025-01-01,0
CUST-99,Free,UK,Medium,20,23,5,14,1,0,4,11,1,0,2024-12-08,0
CUST-100,Free,US,Small,0,13,10,7,1,1,13,4,1,0,2024-12-12,1
CUST-101,Free,UK,Small,24,3,3,12,0,0,19,10,0,0,2024-04-05,0
CUST-102,Pro,Nigeria,Small,8,4,8,11,3,0,7,0,0,79,2024-09-11,0
CUST-103,Starter,Canada,Small,24,10,8,7,1,0,10,11,0,29,2024-05-15,0
CUST-104,Starter,UK,Small,30,23,5,14,1,0,25,8,1,29,2024-09-04,0
CUST-105,Enterprise,US,Small,26,27,8,11,4,0,35,2,1,249,2025-05-13,0
CUST-106,Free,Canada,Small,23,30,10,10,4,0,25,1,1,0,2025-04-30,0
CUST-107,Starter,Nigeria,Small,12,22,8,18,2,0,29,9,0,29,2025-02-05,0
CUST-108,Pro,Canada,Medium,25,12,3,13,2,0,12,5,1,79,2025-08-26,0
CUST-109,Free,UK,Medium,28,15,2,17,4,0,12,7,1,0,2025-02-15,1
CUST-110,Free,Nigeria,Medium,18,23,9,12,3,0,6,1,0,0,2025-03-23,1
CUST-111,Starter,US,Small,16,12,2,3,2,1,10,3,1,29,2024-09-03,0
CUST-112,Free,Nigeria,Small,10,23,9,16,5,0,2,1,1,0,2025-11-29,0
CUST-113,Enterprise,Nigeria,Medium,27,21,4,18,5,0,25,11,1,249,2025-02-24,0
CUST-114,Pro,Germany,Medium,27,25,2,8,3,0,7,11,1,79,2024-05-03,0
CUST-115,Pro,Nigeria,Small,7,1,10,6,4,0,23,8,1,79,2024-09-16,0
CUST-116,Pro,Nigeria,Small,22,15,1,0,2,0,11,9,1,79,2024-06-17,0
CUST-117,Pro,Canada,Large,28,5,4,6,1,0,36,12,1,79,2024-04-20,0
CUST-118,Free,US,Small,4,13,9,6,4,0,23,14,1,0,2024-10-16,0
CUST-119,Pro,Canada,Small,9,0,9,19,2,0,7,1,1,79,2025-08-21,0
CUST-120,Starter,Canada,Medium,6,16,4,6,3,0,27,9,1,29,2024-01-13,1
CUST-121,Pro,UK,Small,9,10,9,7,5,1,13,1,0,79,2024-09-19,1
CUST-122,Pro,Canada,Small,3,18,6,15,3,0,17,13,0,79,2024-01-23,1
CUST-123,Starter,Germany,Small,8,2,1,2,2,1,32,12,0,29,2024-07-18,1
CUST-124,Free,Germany,Medium,26,10,10,12,3,0,26,4,1,0,2024-08-29,0
CUST-125,Free,UK,Small,25,28,6,9,2,0,22,11,1,0,2024-08-26,0
CUST-126,Starter,US,Small,13,4,9,17,2,0,13,4,1,29,2024-10-29,0
CUST-127,Pro,US,Small,1,16,2,6,3,0,12,11,0,79,2024-06-13,1
CUST-128,Pro,Canada,Medium,24,25,6,20,0,0,7,6,1,79,2024-06-24,1
CUST-129,Free,Canada,Small,8,21,2,20,1,0,1,0,1,0,2024-01-29,1
CUST-130,Starter,Canada,Large,20,6,4,4,4,0,33,11,0,29,2025-11-07,0
CUST-131,Starter,US,Small,26,9,8,6,5,0,14,1,1,29,2025-06-18,0
CUST-132,Free,Nigeria,Large,0,27,7,16,1,1,17,10,1,0,2024-10-20,1
CUST-133,Free,Germany,Large,22,28,9,3,4,0,4,15,0,0,2025-04-21,0
CUST-134,Starter,Nigeria,Small,9,10,7,15,4,0,1,10,0,29,2025-01-17,0
CUST-135,Enterprise,Nigeria,Small,9,2,1,18,5,0,24,5,1,249,2025-07-09,0
CUST-136,Starter,US,Small,19,19,2,9,1,0,34,1,1,29,2025-11-22,0
CUST-137,Starter,Nigeria,Small,24,9,6,2,5,0,34,15,1,29,2024-10-22,0
CUST-138,Pro,UK,Medium,21,26,7,2,2,0,24,3,1,79,2025-10-12,0
CUST-139,Starter,Canada,Small,28,9,3,16,5,0,15,9,1,29,2024-11-29,0
CUST-140,Enterprise,UK,Small,2,13,9,9,3,0,17,15,0,249,2024-09-04,0
CUST-141,Enterprise,Germany,Small,5,11,7,16,0,0,13,5,1,249,2024-08-28,0
CUST-142,Starter,Canada,Large,28,14,6,16,0,0,7,12,0,29,2024-04-15,0
CUST-143,Starter,Nigeria,Small,25,9,6,20,0,1,9,11,1,29,2025-11-15,0
CUST-144,Starter,Germany,Small,5,29,1,3,1,0,35,6,0,29,2025-07-14,1
CUST-145,Starter,Canada,Small,20,9,5,20,1,0,23,9,0,29,2024-05-02,1
CUST-146,Free,Nigeria,Large,1,25,10,5,2,1,23,4,0,0,2024-02-04,0
CUST-147,Pro,UK,Medium,25,18,3,11,0,0,26,7,0,79,2025-09-09,0
CUST-148,Starter,Canada,Small,25,0,7,19,2,0,1,5,1,29,2025-02-19,0
CUST-149,Free,Nigeria,Small,17,23,10,16,0,0,14,4,0,0,2025-09-12,0
CUST-150,Starter,UK,Small,22,28,3,16,1,0,32,3,1,29,2025-09-28,1
CUST-151,Enterprise,Germany,Small,1,25,5,9,3,1,10,5,1,249,2024-11-22,0
CUST-152,Free,Germany,Large,11,9,7,6,3,0,1,5,1,0,2024-10-21,0
CUST-153,Free,Germany,Medium,21,1,3,15,3,0,5,5,1,0,2025-03-07,0
CUST-154,Starter,Germany,Small,4,16,10,12,5,0,3,15,1,29,2024-12-12,1
CUST-155,Enterprise,US,Large,19,29,2,2,3,1,27,0,0,249,2024-02-06,1
CUST-156,Free,Canada,Small,6,23,6,1,4,0,22,5,1,0,2025-11-30,1
CUST-157,Pro,Canada,Medium,23,6,8,15,0,0,18,0,1,79,2025-05-26,0
CUST-158,Pro,US,Large,15,6,4,5,3,1,16,4,0,79,2025-06-18,0
CUST-159,Free,Nigeria,Small,19,19,9,5,4,0,2,6,1,0,2025-10-25,1
CUST-160,Pro,Nigeria,Medium,0,26,8,12,4,0,13,0,1,79,2024-01-18,1
CUST-161,Starter,Germany,Small,0,8,7,6,4,0,16,12,0,29,2024-01-27,1
CUST-162,Pro,UK,Small,16,21,7,4,2,0,8,0,1,79,2025-06-19,0
CUST-163,Pro,Nigeria,Small,26,1,3,6,2,0,8,12,0,79,2024-01-29,0
CUST-164,Starter,UK,Small,0,13,6,1,4,0,10,12,1,29,2025-10-12,0
CUST-165,Free,Canada,Medium,20,16,5,16,5,0,33,15,1,0,2025-10-19,0
CUST-166,Pro,UK,Large,19,0,1,12,3,0,31,14,0,79,2025-09-26,0
CUST-167,Starter,Canada,Medium,12,8,3,20,0,0,12,5,0,29,2025-10-01,0
CUST-168,Free,US,Large,29,19,1,20,5,0,9,14,0,0,2024-04-26,0
CUST-169,Free,US,Medium,8,20,4,15,1,0,9,6,0,0,2024-05-11,0
CUST-170,Starter,Germany,Small,14,18,10,19,2,1,18,5,0,29,2024-10-15,0
CUST-171,Pro,Nigeria,Small,2,3,3,1,3,0,30,4,1,79,2024-08-23,0
CUST-172,Free,Germany,Small,13,27,4,4,3,1,32,5,1,0,2024-02-11,0
CUST-173,Starter,Canada,Medium,22,7,9,17,1,0,23,12,1,29,2024-06-08,0
CUST-174,Free,Germany,Large,10,12,3,6,1,0,11,13,1,0,2025-11-21,0
CUST-175,Pro,UK,Small,23,3,6,10,3,0,20,15,1,79,2024-05-04,1
CUST-176,Free,Canada,Medium,21,8,6,10,1,0,19,2,1,0,2024-09-16,0
CUST-177,Pro,US,Medium,11,8,7,16,3,0,36,8,0,79,2024-10-02,0
CUST-178,Starter,Nigeria,Medium,12,21,9,15,5,0,26,14,1,29,2024-07-31,0
CUST-179,Enterprise,Canada,Small,25,17,7,12,1,1,10,4,0,249,2025-04-17,0
CUST-180,Free,Canada,Small,12,11,1,4,5,0,24,1,1,0,2025-07-23,0
CUST-181,Starter,UK,Small,0,9,8,19,5,0,13,13,1,29,2025-03-06,1
CUST-182,Free,Nigeria,Small,23,10,5,15,1,1,34,13,1,0,2024-03-20,1
CUST-183,Enterprise,US,Small,30,6,9,15,3,1,29,11,1,249,2024-08-15,0
CUST-184,Pro,Canada,Medium,9,8,10,15,4,1,36,9,1,79,2024-04-04,0
CUST-185,Starter,Canada,Small,2,5,5,13,3,0,7,9,0,29,2025-02-27,0
CUST-186,Pro,UK,Large,23,18,5,5,0,0,30,15,1,79,2025-05-30,0
CUST-187,Pro,Germany,Small,27,15,2,1,1,0,17,6,1,79,2024-06-13,0
CUST-188,Starter,US,Medium,3,29,3,13,2,0,13,2,0,29,2025-03-01,0
CUST-189,Starter,Nigeria,Small,15,14,10,15,1,0,24,0,1,29,2024-02-11,0
CUST-190,Free,Canada,Medium,7,6,9,19,0,0,31,2,1,0,2025-02-06,0
CUST-191,Free,Canada,Large,15,15,7,12,5,0,27,8,0,0,2025-02-19,0
CUST-192,Pro,US,Small,26,4,1,14,2,0,21,4,1,79,2024-10-26,0
CUST-193,Enterprise,Germany,Small,16,15,3,11,2,0,1,6,1,249,2024-02-24,0
CUST-194,Pro,Canada,Medium,18,0,2,8,3,0,15,2,1,79,2024-12-01,0
CUST-195,Starter,US,Small,21,18,1,17,4,0,3,3,1,29,2025-03-05,0
CUST-196,Starter,UK,Small,14,4,9,20,3,0,6,0,1,29,2025-11-15,0
CUST-197,Pro,Germany,Small,15,6,8,13,2,0,14,2,1,79,2024-11-29,0
CUST-198,Pro,Nigeria,Small,14,18,5,19,2,0,33,6,0,79,2025-02-09,0
CUST-199,Pro,Canada,Medium,24,21,2,3,4,0,8,3,0,79,2024-01-30,1
CUST-200,Pro,US,Small,1,4,1,7,1,0,26,14,0,79,2025-06-18,0
CUST-201,Pro,UK,Large,10,28,7,7,4,0,15,1,0,79,2025-05-31,0
CUST-202,Free,Nigeria,Medium,0,16,2,15,5,1,14,13,0,0,2025-07-28,1
CUST-203,Free,US,Medium,14,25,1,9,3,0,20,4,1,0,2024-08-08,0
CUST-204,Pro,US,Medium,25,21,2,20,1,0,19,15,1,79,2025-08-16,0
CUST-205,Pro,Nigeria,Large,18,29,7,16,3,0,33,14,0,79,2025-05-08,0
CUST-206,Free,UK,Small,3,7,7,0,4,0,36,4,0,0,2024-09-09,1
CUST-207,Free,UK,Large,10,28,10,17,1,0,24,14,0,0,2025-07-17,1
CUST-208,Pro,Germany,Medium,4,28,6,9,4,0,10,1,1,79,2024-11-16,0
CUST-209,Free,Canada,Medium,2,0,5,20,5,0,34,14,0,0,2024-02-08,0
CUST-210,Free,Nigeria,Medium,12,1,3,3,0,0,36,14,1,0,2025-04-09,0
CUST-211,Starter,Nigeria,Small,9,29,3,0,2,0,36,10,1,29,2025-02-14,0
CUST-212,Pro,Nigeria,Small,10,14,9,3,1,0,16,5,1,79,2025-02-15,0
CUST-213,Pro,UK,Medium,17,19,4,3,2,0,15,9,1,79,2025-05-06,1
CUST-214,Free,Canada,Small,1,27,9,3,0,0,18,3,0,0,2025-03-13,0
CUST-215,Pro,Germany,Medium,6,17,4,16,1,0,7,13,0,79,2025-04-23,0
CUST-216,Free,US,Small,8,10,2,8,2,0,22,0,0,0,2024-03-12,0
CUST-217,Starter,US,Small,9,24,4,18,2,0,32,2,0,29,2025-08-04,0
CUST-218,Pro,Nigeria,Small,17,9,6,12,1,0,19,13,0,79,2024-08-07,1
CUST-219,Pro,Canada,Small,22,23,6,3,2,0,1,8,1,79,2024-01-04,0
CUST-220,Pro,UK,Small,6,23,5,4,2,0,35,9,0,79,2024-10-16,0
CUST-221,Pro,Canada,Small,26,3,1,12,1,0,5,6,1,79,2025-01-14,0
CUST-222,Starter,Canada,Large,6,4,3,15,2,0,12,12,0,29,2024-12-20,0
CUST-223,Free,UK,Medium,2,3,5,4,2,0,12,5,1,0,2024-03-20,0
CUST-224,Starter,Nigeria,Small,11,12,6,7,3,0,21,13,1,29,2024-03-06,1
CUST-225,Starter,Canada,Medium,6,24,1,15,5,1,19,0,0,29,2024-05-15,1
CUST-226,Free,US,Large,16,12,9,0,3,0,9,15,0,0,2025-02-02,0
CUST-227,Enterprise,UK,Medium,25,17,3,5,0,0,36,8,1,249,2024-12-12,0
CUST-228,Starter,Germany,Small,0,28,10,10,3,0,32,12,1,29,2024-02-28,0
CUST-229,Pro,Nigeria,Large,4,26,3,15,3,0,35,8,1,79,2025-06-02,0
CUST-230,Pro,UK,Medium,15,23,2,4,0,1,31,0,0,79,2024-08-24,1
CUST-231,Pro,Germany,Small,14,1,8,15,2,0,32,13,1,79,2024-03-19,0
CUST-232,Starter,Germany,Small,1,15,3,6,2,0,32,12,0,29,2025-07-11,1
CUST-233,Starter,Canada,Medium,8,0,6,18,3,0,30,12,1,29,2025-11-02,1
CUST-234,Starter,Canada,Small,30,25,2,0,0,0,32,14,1,29,2024-04-24,0
CUST-235,Free,Canada,Medium,6,18,7,8,2,0,2,5,0,0,2025-04-06,1
CUST-236,Pro,UK,Small,3,8,4,17,4,0,11,6,0,79,2025-09-17,1
CUST-237,Starter,UK,Large,19,27,9,12,1,0,20,1,0,29,2024-05-05,0
CUST-238,Free,Nigeria,Medium,17,2,10,14,1,0,9,15,1,0,2025-08-24,0
CUST-239,Pro,Canada,Small,20,24,9,2,5,1,19,15,1,79,2025-07-26,0
CUST-240,Free,Germany,Small,3,6,7,9,1,0,7,9,0,0,2025-05-14,0
CUST-241,Enterprise,US,Medium,27,28,8,8,3,0,5,7,1,249,2024-04-11,0
CUST-242,Enterprise,Nigeria,Medium,12,9,3,12,1,1,24,7,1,249,2025-09-17,0
CUST-243,Enterprise,UK,Medium,0,0,5,15,1,0,7,5,0,249,2024-06-22,0
CUST-244,Starter,Nigeria,Small,27,9,2,2,4,1,11,8,0,29,2025-03-27,0
CUST-245,Free,Nigeria,Small,23,20,10,14,2,0,9,2,0,0,2024-04-01,1
CUST-246,Enterprise,Nigeria,Small,2,8,7,16,4,0,30,1,0,249,2025-11-25,0
CUST-247,Starter,Nigeria,Medium,15,27,8,13,3,0,3,1,0,29,2025-01-19,0
CUST-248,Enterprise,US,Small,29,14,9,6,1,0,22,5,1,249,2024-07-23,0
CUST-249,Enterprise,Canada,Small,21,14,7,19,2,0,20,6,1,249,2024-12-28,0
CUST-250,Pro,Germany,Medium,3,2,10,15,5,0,32,5,0,79,2025-05-12,1
CUST-251,Starter,Nigeria,Large,24,24,10,20,5,0,7,10,1,29,2025-06-20,0
CUST-252,Starter,Nigeria,Small,22,4,8,7,1,0,7,2,1,29,2024-08-21,0
CUST-253,Pro,Nigeria,Small,24,8,9,3,1,0,20,15,1,79,2024-01-16,0
CUST-254,Starter,Canada,Medium,15,25,6,19,5,0,25,4,0,29,2024-05-20,1
CUST-255,Free,UK,Medium,25,21,10,14,5,1,35,7,0,0,2025-09-11,1
CUST-256,Starter,UK,Small,18,8,2,4,3,0,24,5,1,29,2025-02-23,0
CUST-257,Enterprise,US,Large,0,22,2,12,1,0,13,1,0,249,2025-03-31,1
CUST-258,Pro,UK,Medium,4,6,4,5,5,0,4,14,0,79,2024-10-26,0
CUST-259,Starter,Nigeria,Small,18,23,9,4,0,1,12,15,1,29,2024-12-04,1
CUST-260,Free,Nigeria,Small,21,22,7,16,5,1,17,6,0,0,2024-10-29,1
CUST-261,Pro,Nigeria,Small,23,11,2,6,2,0,1,15,1,79,2025-08-14,1
CUST-262,Enterprise,US,Medium,10,24,8,5,2,1,17,7,1,249,2024-03-16,1
CUST-263,Free,Nigeria,Small,12,26,7,1,0,0,2,3,0,0,2025-09-15,1
CUST-264,Starter,UK,Medium,19,8,9,10,3,1,6,11,0,29,2024-11-11,1
CUST-265,Pro,Canada,Medium,4,5,8,6,1,0,11,15,1,79,2025-05-14,1
CUST-266,Pro,Canada,Small,20,22,3,20,1,0,18,0,1,79,2024-03-15,0
CUST-267,Pro,Germany,Medium,3,1,1,7,5,0,25,1,1,79,2024-12-31,1
CUST-268,Pro,UK,Large,3,30,2,4,2,0,28,15,1,79,2025-06-29,1
CUST-269,Starter,Nigeria,Small,3,8,2,17,3,0,16,3,1,29,2025-10-14,1
CUST-270,Starter,Canada,Small,3,27,4,15,3,0,12,6,1,29,2025-11-08,0
CUST-271,Pro,UK,Small,19,28,6,13,3,1,29,1,1,79,2025-01-30,0
CUST-272,Pro,Canada,Large,20,16,4,11,5,0,23,5,1,79,2024-08-18,0
CUST-273,Pro,Nigeria,Large,17,0,9,16,1,0,21,1,1,79,2024-01-28,0
CUST-274,Enterprise,Canada,Small,17,18,4,4,3,0,16,11,1,249,2025-04-19,0
CUST-275,Starter,Germany,Medium,15,27,6,13,5,0,26,6,1,29,2024-10-21,0
CUST-276,Starter,Germany,Small,8,5,6,5,5,0,22,1,1,29,2025-03-02,0
CUST-277,Pro,Canada,Small,17,4,10,14,0,0,10,2,1,79,2024-03-31,0
CUST-278,Pro,UK,Small,21,30,10,6,4,0,7,8,1,79,2024-04-24,0
CUST-279,Pro,UK,Small,1,1,1,13,3,0,9,12,0,79,2024-06-07,1
CUST-280,Pro,UK,Small,20,8,8,17,4,0,25,14,1,79,2024-09-14,0
CUST-281,Pro,Canada,Medium,3,29,3,0,1,1,15,3,0,79,2025-01-07,1
CUST-282,Starter,UK,Small,11,28,6,5,5,0,13,13,0,29,2024-03-30,1
CUST-283,Starter,Nigeria,Large,6,25,3,2,3,1,26,4,1,29,2024-10-24,1
CUST-284,Free,Germany,Small,14,13,2,4,2,0,21,8,0,0,2024-01-31,1
CUST-285,Starter,Nigeria,Small,6,3,5,11,1,0,23,6,0,29,2024-12-23,0
CUST-286,Free,UK,Small,28,3,1,10,0,1,28,7,0,0,2025-04-14,0
CUST-287,Starter,Nigeria,Medium,21,20,9,12,0,0,12,14,0,29,2024-05-07,0
CUST-288,Starter,UK,Small,25,14,7,15,4,0,24,10,1,29,2024-09-26,0
CUST-289,Starter,Canada,Small,20,7,3,17,5,0,13,2,0,29,2025-05-12,0
CUST-290,Starter,Nigeria,Large,16,25,4,16,4,0,2,10,0,29,2025-02-16,0
CUST-291,Free,Canada,Small,15,3,6,16,2,0,12,10,0,0,2024-07-27,0
CUST-292,Free,Canada,Small,27,15,3,10,2,0,14,3,0,0,2025-11-20,0
CUST-293,Pro,US,Medium,30,20,7,19,0,1,30,6,0,79,2024-11-01,1
CUST-294,Starter,UK,Small,18,27,6,9,3,0,19,3,1,29,2024-07-09,0
CUST-295,Free,Germany,Small,8,3,9,15,0,0,31,1,0,0,2024-12-22,0
CUST-296,Starter,UK,Small,30,29,5,1,0,0,25,13,0,29,2025-04-01,0
CUST-297,Pro,Germany,Small,13,15,4,16,2,0,4,9,1,79,2025-03-24,1
CUST-298,Free,UK,Small,16,21,3,19,4,1,13,5,1,0,2024-03-08,0
CUST-299,Pro,Canada,Small,4,11,10,9,2,0,36,8,0,79,2025-04-11,1
